ID,replicate,date,fitness
2C,1,10/31/21,0
2C,2,10/31/21,6
2C,3,10/31/21,0
2C,4,10/31/21,1
2C,5,10/31/21,6
2C,6,10/31/21,5
2C,7,10/31/21,4
2C,8,10/31/21,2
2C,9,10/31/21,4
2C,10,10/31/21,4
2C,1,11/3/21,3
2C,2,11/3/21,7
2C,3,11/3/21,0
2C,4,11/3/21,3
2C,5,11/3/21,5
2C,6,11/3/21,7
2C,7,11/3/21,4
2C,8,11/3/21,4
2C,9,11/3/21,6
2C,10,11/3/21,7
2C,2,11/4/21,NA
2C,3,11/4/21,NA
2C,4,11/4/21,NA
2C,6,11/4/21,NA
2C,8,11/4/21,NA
2C,9,11/5/21,NA
2C,10,11/5/21,NA
2C,1,11/6/21,0
2C,7,11/6/21,1
2C,5,11/7/21,1
2C,5,11/8/21,0
1C,1,10/31/21,0
1C,2,10/31/21,0
1C,3,10/31/21,0
1C,4,10/31/21,0
1C,5,10/31/21,0
1C,6,10/31/21,0
1C,7,10/31/21,0
1C,8,10/31/21,0
1C,9,10/31/21,0
1C,10,10/31/21,0
1C,1,11/3/21,0
1C,2,11/3/21,0
1C,3,11/3/21,3
1C,4,11/3/21,2
1C,5,11/3/21,0
1C,6,11/3/21,3
1C,7,11/3/21,2
1C,8,11/3/21,3
1C,9,11/3/21,3
1C,10,11/3/21,0
1C,1,11/6/21,0
1C,6,11/6/21,0
1C,9,11/6/21,0
1C,2,11/7/21,0
1C,3,11/7/21,NA
1C,4,11/7/21,4
1C,5,11/7/21,1
1C,7,11/7/21,0
1C,8,11/7/21,1
1C,9,11/7/21,0
1C,10,11/7/21,2
1C,2,11/8/21,0
1C,4,11/8/21,0
1C,5,11/8/21,0
1C,7,11/8/21,0
1C,8,11/8/21,0
1C,9,11/8/21,0
1C,10,11/8/21,0
2B,1,10/31/21,12
2B,2,10/31/21,17
2B,3,10/31/21,8
2B,4,10/31/21,16
2B,5,10/31/21,16
2B,6,10/31/21,11
2B,7,10/31/21,14
2B,8,10/31/21,13
2B,9,10/31/21,18
2B,10,10/31/21,13
2B,1,11/3/21,0
2B,2,11/3/21,11
2B,3,11/3/21,11
2B,4,11/3/21,14
2B,5,11/3/21,14
2B,6,11/3/21,0
2B,7,11/3/21,14
2B,8,11/3/21,13
2B,9,11/3/21,0
2B,10,11/3/21,11
2B,9,11/5/21,0
2B,7,11/6/21,5
2B,1,11/7/21,5
2B,2,11/7/21,6
2B,3,11/7/21,6
2B,4,11/7/21,1
2B,5,11/7/21,0
2B,6,11/7/21,1
2B,8,11/7/21,3
2B,9,11/7/21,1
2B,10,11/7/21,7
2B,4,11/8/21,0
2B,10,11/8/21,0
2B,3,11/9/21,0
2B,5,11/9/21,0
2B,6,11/9/21,0
2B,8,11/9/21,0
1B,1,10/31/21,0
1B,2,10/31/21,0
1B,3,10/31/21,0
1B,4,10/31/21,0
1B,5,10/31/21,0
1B,6,10/31/21,0
1B,7,10/31/21,0
1B,8,10/31/21,0
1B,9,10/31/21,0
1B,10,10/31/21,0
1B,1,11/3/21,2
1B,2,11/3/21,0
1B,3,11/3/21,2
1B,4,11/3/21,1
1B,5,11/3/21,3
1B,6,11/3/21,4
1B,7,11/3/21,4
1B,8,11/3/21,4
1B,9,11/3/21,3
1B,10,11/3/21,4
1B,1,11/7/21,9
1B,2,11/7/21,6
1B,3,11/7/21,2
1B,4,11/7/21,0
1B,5,11/7/21,5
1B,6,11/7/21,4
1B,7,11/7/21,5
1B,8,11/7/21,0
1B,9,11/7/21,0
1B,10,11/7/21,5
1B,2,11/9/21,0
1B,3,11/9/21,0
1B,6,11/9/21,NA
1B,7,11/9/21,0
1B,4,11/10/21,3
1B,5,11/10/21,0
1B,8,11/10/21,0
1B,9,11/10/21,0
1B,8,11/11/21,0
1B,5,11/12/21,0
1B,9,11/12/21,0
3C,1,10/27/21,0
3C,2,10/27/21,0
3C,3,10/27/21,0
3C,4,10/27/21,0
3C,5,10/27/21,0
3C,6,10/27/21,1
3C,7,10/27/21,1
3C,8,10/27/21,0
3C,9,10/27/21,1
3C,10,10/27/21,0
3C,1,10/31/21,6
3C,2,10/31/21,4
3C,3,10/31/21,3
3C,4,10/31/21,5
3C,5,10/31/21,6
3C,6,10/31/21,4
3C,7,10/31/21,3
3C,8,10/31/21,2
3C,9,10/31/21,3
3C,10,10/31/21,4
3C,1,11/3/21,6
3C,2,11/3/21,5
3C,3,11/3/21,4
3C,4,11/3/21,4
3C,5,11/3/21,1
3C,6,11/3/21,5
3C,7,11/3/21,5
3C,8,11/3/21,9
3C,9,11/3/21,4
3C,10,11/3/21,5
3C,9,11/4/21,NA
3C,1,11/7/21,6
3C,8,11/7/21,1
3C,8,11/8/21,0
3C,1,11/10/21,3
3C,1,11/12/21,0
1A,1,10/31/21,0
1A,2,10/31/21,0
1A,3,10/31/21,0
1A,4,10/31/21,0
1A,5,10/31/21,0
1A,6,10/31/21,0
1A,7,10/31/21,0
1A,8,10/31/21,0
1A,9,10/31/21,0
1A,10,10/31/21,0
1A,1,11/3/21,4
1A,2,11/3/21,4
1A,3,11/3/21,4
1A,4,11/3/21,4
1A,5,11/3/21,4
1A,6,11/3/21,2
1A,7,11/3/21,3
1A,8,11/3/21,3
1A,9,11/3/21,0
1A,10,11/3/21,4
1A,1,11/7/21,8
1A,2,11/7/21,0
1A,3,11/7/21,10
1A,4,11/7/21,7
1A,5,11/7/21,4
1A,6,11/7/21,6
1A,7,11/7/21,7
1A,8,11/7/21,2
1A,9,11/7/21,4
1A,10,11/7/21,6
1A,6,11/9/21,0
1A,7,11/9/21,0
1A,1,11/10/21,0
1A,2,11/10/21,0
1A,3,11/10/21,3
1A,4,11/10/21,0
1A,5,11/10/21,1
1A,8,11/10/21,5
1A,9,11/10/21,3
1A,10,11/10/21,0
1A,2,11/12/21,NA
1A,9,11/12/21,2
1A,3,11/13/21,NA
1A,1,11/14/21,0
1A,5,11/14/21,0
1A,10,11/14/21,0
2A,1,10/31/21,18
2A,2,10/31/21,14
2A,3,10/31/21,16
2A,4,10/31/21,11
2A,5,10/31/21,11
2A,6,10/31/21,15
2A,7,10/31/21,15
2A,8,10/31/21,11
2A,9,10/31/21,0
2A,10,10/31/21,13
2A,1,11/3/21,8
2A,2,11/3/21,11
2A,3,11/3/21,8
2A,4,11/3/21,4
2A,5,11/3/21,12
2A,6,11/3/21,12
2A,7,11/3/21,10
2A,8,11/3/21,10
2A,9,11/3/21,8
2A,10,11/3/21,9
2A,1,11/7/21,10
2A,2,11/7/21,9
2A,3,11/7/21,8
2A,4,11/7/21,7
2A,5,11/7/21,9
2A,6,11/7/21,10
2A,7,11/7/21,6
2A,9,11/7/21,5
2A,1,11/10/21,6
2A,3,11/10/21,0
2A,4,11/10/21,4
2A,5,11/10/21,8
2A,6,11/10/21,1
2A,7,11/10/21,0
2A,9,11/10/21,8
2A,6,11/11/21,0
2A,7,11/12/21,0
2A,9,11/12/21,6
2A,1,11/14/21,2
2A,4,11/14/21,0
2A,5,11/14/21,7
3A,1,10/27/21,2
3A,2,10/27/21,3
3A,3,10/27/21,3
3A,4,10/27/21,4
3A,5,10/27/21,3
3A,6,10/27/21,3
3A,7,10/27/21,3
3A,8,10/27/21,3
3A,9,10/27/21,3
3A,10,10/27/21,3
3A,1,10/31/21,20
3A,2,10/31/21,20
3A,3,10/31/21,15
3A,4,10/31/21,7
3A,5,10/31/21,17
3A,6,10/31/21,17
3A,7,10/31/21,21
3A,8,10/31/21,15
3A,9,10/31/21,20
3A,10,10/31/21,13
3A,1,11/3/21,13
3A,2,11/3/21,2
3A,3,11/3/21,2
3A,5,11/3/21,4
3A,6,11/3/21,0
3A,7,11/3/21,12
3A,8,11/3/21,12
3A,9,11/3/21,12
3A,10,11/3/21,12
3A,7,11/4/21,NA
3A,8,11/4/21,2
3A,1,11/7/21,20
3A,3,11/7/21,0
3A,5,11/7/21,2
3A,6,11/7/21,3
3A,1,11/10/21,4
3A,1,11/14/21,0
3B,1,10/27/21,4
3B,2,10/27/21,6
3B,3,10/27/21,5
3B,4,10/27/21,5
3B,5,10/27/21,0
3B,6,10/27/21,6
3B,7,10/27/21,4
3B,8,10/27/21,0
3B,9,10/27/21,5
3B,10,10/27/21,3
3B,1,10/31/21,15
3B,2,10/31/21,16
3B,3,10/31/21,8
3B,4,10/31/21,18
3B,5,10/31/21,14
3B,6,10/31/21,12
3B,7,10/31/21,14
3B,8,10/31/21,20
3B,9,10/31/21,10
3B,10,10/31/21,20
3B,1,11/3/21,0
3B,2,11/3/21,11
3B,3,11/3/21,1
3B,4,11/3/21,6
3B,5,11/3/21,12
3B,6,11/3/21,3
3B,7,11/3/21,2
3B,8,11/3/21,11
3B,9,11/3/21,10
3B,10,11/3/21,6
3B,5,11/4/21,3
3B,4,11/5/21,NA
3B,6,11/5/21,NA
3B,7,11/5/21,NA
3B,10,11/5/21,NA
3B,2,11/7/21,4
3B,8,11/7/21,12
3B,9,11/7/21,3
3B,2,11/9/21,0
3B,8,11/10/21,0
3B,8,11/14/21,0
