round,ss.beta.mult,beta.mult,sy.mult,clone,number,exposure,fluor.,control,f,ss.f,length,scope,mm,eggs,time ,notes,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,fecundity,death.age,end.size,dead,infected,uninfected,spore yield,mult.inf,mult.uninf,mult.ed,more notes,group f,group ss f,ID
1,1,1,1,A45,1,0,195.98,385.9988889,28.10163639,16.99208466,66,B,1.286004456,,0.361805556,avg,0,0,0,0,2,0,6,2,0,7,0,0,5,0,0,8,0,0,5,35,,102,0,0,1,,0,1,0,,,,1156
1,1,1,1,A45,2,0,215.86,385.9988889,24.09599988,17.05643276,61,B,1.188579876,,0.361805556,avg,0,0,0,0,4,0,5,0,0,6,0,0,4,0,0,4,0,,,23,21,82,1,0,1,,0,1,0,,,,1157
1,1,1,1,A45,3,0,208.13,385.9988889,25.60788234,18.12662374,61,B,1.188579876,,0.361805556,avg,0,0,0,0,1,0,6,0,0,6,0,0,3,0,0,4,0,0,3,23,,94,0,0,1,,0,1,0,,,,1158
1,1,1,1,A45,4,0,229.29,385.9988889,21.59365321,15.28513844,61,B,1.188579876,,0.361805556,avg,0,0,0,2,0,0,6,0,0,5,0,0,5,0,0,4,0,,,22,21,87,1,0,1,,0,1,0,,,,1159
1,1,1,1,A45,5,0,215.48,385.9988889,24.16904816,13.37101235,69,B,1.344459204,,0.361805556,avg,0,0,0,0,0,6,0,2,5,0,0,2,0,,,,,,,15,17,76,1,0,1,,0,1,0,,,,1160
1,1,1,1,A45,6,0,221.97,385.9988889,22.93879592,16.7830559,60,B,1.16909496,,0.361805556,avg,0,0,0,0,2,0,6,0,0,7,0,0,7,0,0,4,0,0,5,31,,106,0,0,1,,0,1,0,,,,1161
1,1,1,1,A45,7,0,218.57,385.9988889,23.57874912,15.64741449,63,B,1.227549708,,0.361805556,avg,0,0,0,0,4,0,6,0,0,6,0,0,2,0,0,6,0,0,0,24,,95,0,0,1,,0,1,0,,,,1162
1,1,1,1,A45,8,0,256.34,385.9988889,16.97029508,10.57951125,65,B,1.26651954,,0.361805556,avg,0,0,0,0,0,3,0,0,6,0,0,0,,,,,,,,9,16,82,1,0,1,,0,1,0,,,,1163
1,1,1,1,A45,9,0,215.74,385.9988889,24.11905386,18.24984449,59,B,1.149610044,,0.361805556,avg,0,0,0,2,0,0,7,0,0,8,0,0,2,0,0,,,,,19,19,85,1,0,1,,0,1,0,,,,1164
1,1,1,1,A45,10,0,256.75,385.9988889,16.90403737,10.87009702,64,B,1.247034624,,0.361805556,avg,0,0,0,0,0,4,0,0,3,0,0,4,0,1,0,0,0,3,0,15,,83,0,0,1,,0,1,0,,,,1165
1,1,1,1,A45,11,0,173.62,385.9988889,33.12409701,22.69674577,62,B,1.208064792,,0.361805556,avg,0,0,0,0,3,0,0,6,0,0,3,0,0,5,0,0,0,0,0,17,,92,0,0,1,,0,1,0,,,,1166
1,1,1,1,A45,13,0,211.92,385.9988889,24.85971968,17.03396586,62,B,1.208064792,,0.361805556,avg,0,0,0,0,2,0,0,7,0,3,3,0,4,0,0,0,0,0,1,20,,95,0,0,1,,0,1,0,,,,1167
1,1,1,1,A45,14,0,190.92,385.9988889,29.18611895,21.35387871,60,B,1.16909496,,0.361805556,avg,0,0,0,0,1,0,6,0,0,7,0,0,10,0,0,6,0,0,3,33,,99,0,0,1,,0,1,0,,,,1168
1,1,1,1,A45,15,0,187.09,385.9988889,30.02626806,20.57410267,62,B,1.208064792,,0.361805556,avg,0,0,0,0,0,0,4,2,0,7,0,,,,,,,,,13,15,76,1,0,1,,0,1,0,,,,1169
1,1,1,1,A45,1,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,3,2,0,7,0,0,6,,,,,,,,,,18,14,92,1,1,0,21.75,1,0,0,,,,1170
1,1,1,1,A45,2,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,2,0,5,0,0,6,0,0,,,,,,,,13,16,88,1,1,0,26.125,1,0,0,,,,1171
1,1,1,1,A45,3,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,1,0,2,5,0,5,0,0,7,0,0,5,0,0,7,32,,104,0,0,1,,0,1,0,,,,1172
1,1,1,1,A45,4,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,2,5,1,0,6,0,0,5,,,,,,,,19,16,87,1,1,0,20.125,1,0,0,,,,1173
1,1,1,1,A45,5,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,1,0,3,1,0,4,0,0,,,,,,,,9,16,81,1,0,1,,0,1,0,,,,1174
1,1,1,1,A45,6,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,0,0,5,1,0,5,0,0,5,0,0,5,0,0,5,26,,98,0,0,1,,0,1,0,,,,1175
1,1,1,1,A45,7,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,0,6,0,0,1,,,,,,,,,,,7,13,85,1,1,0,,1,0,0,,,,1176
1,1,1,1,A45,8,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,0,5,0,0,6,0,0,6,0,,,,,,,17,17,86,1,1,0,29.5,1,0,0,,,,1177
1,1,1,1,A45,9,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,1,6,0,1,5,0,0,5,0,,,,,,,18,17,79,1,0,1,,0,1,0,,,,1178
1,1,1,1,A45,10,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,3,0,1,4,0,0,0,,,,,,,,,8,15,79,1,0,1,,0,1,0,,,,1179
1,1,1,1,A45,11,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,4,0,4,2,0,0,,,,,,,,,,10,14,79,1,0,1,,0,1,0,,,,1180
1,1,1,1,A45,12,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,2,0,7,0,0,,,,,,,,,,,9,13,84,1,1,0,11.75,1,0,0,,,,1181
1,1,1,1,A45,13,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,2,0,6,0,0,6,,,,,,,,,,14,14,89,1,1,0,8,1,0,0,,,,1182
1,1,1,1,A45,14,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,3,0,0,6,0,5,1,0,6,0,0,4,0,0,4,29,,96,0,0,1,,0,1,0,,,,1183
1,1,1,1,A45,15,75,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,3,0,0,7,0,0,7,0,0,0,,,,,,17,18,92,1,1,0,26.25,1,0,0,,,,1184
1,1,1,1,A45,1,200,,,,,avg,avg,1.211312278,,0.361805556,avg,0,0,0,0,0,0,0,1,0,2,4,0,6,0,0,8,0,0,7,28,,105,0,0,1,,0,1,0,,,,1185
