tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf
151,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,82,NA,NA,0
152,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0
153,15,0.1,D,0,NA,NA,NA,NA,5/21/22,NA,91,NA,NA,0
154,15,0.1,D,0,NA,NA,NA,1,NA,5/13/22,NA,NA,NA,NA
155,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,91,NA,NA,0
156,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0
157,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,90,NA,NA,0
158,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
159,15,0.1,D,0,NA,NA,NA,NA,4/15/22,NA,35,NA,NA,NA
160,15,0.1,D,0,NA,NA,NA,1,NA,4/14/22,NA,NA,NA,NA
161,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0
162,15,0.1,D,0,NA,NA,NA,NA,4/16/22,NA,46,NA,NA,NA
163,15,0.1,D,0,NA,NA,NA,NA,4/12/22,NA,40,NA,NA,NA
164,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,81,NA,NA,0
165,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,78,NA,NA,0
166,15,0.1,D,1,NA,NA,NA,NA,5/21/22,NA,79,NA,NA,1
167,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,44,NA,NA,NA
168,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,42,NA,NA,NA
169,15,0.1,D,1,NA,NA,1,NA,NA,4/11/22,NA,NA,NA,NA
170,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
171,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
172,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,33,NA,NA,NA
173,15,0.1,D,1,NA,NA,NA,NA,4/15/22,NA,48,NA,NA,NA
174,15,0.1,D,1,1,1,NA,NA,NA,5/5/22,57,NA,NA,0
175,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,46,NA,NA,NA
176,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0
177,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,85,NA,NA,0
178,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
179,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0
180,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,82,NA,NA,0
181,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,50,NA,NA,NA
182,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,51,NA,NA,NA
183,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0
184,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0
185,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,40,NA,NA,NA
186,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,44,NA,NA,NA
187,15,0.1,D,1,NA,NA,NA,NA,4/17/22,NA,56,NA,NA,NA
