tube,temp,resource,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added
1,2V,1,,,,,4/19/22,,85,,,1,159,0
2,2V,1,,,,,4/20/22,,92,,,1,281,0
3,2V,1,,,,,4/23/22,,82,,,1,99,1
4,2V,1,,1,,,NA,5/18/22,81,1,-2,0,NA,
5,2V,1,,,,,4/6/22,,83,,,1,80,1
6,2V,1,,,,,4/22/22,,90,,,1,165,1
7,2V,1,,,,,4/20/22,,87,,,1,218,0
8,2V,1,,,,,4/20/22,,80,,,1,192,0
9,2V,1,,,,1,NA,4/11/22,NA,,,NA,NA,
10,2V,1,,,,,4/29/22,,NA,,,0,0,
11,2V,1,,,,,4/22/22,,82,,,1,112,1
12,2V,1,,,,,4/22/22,,82,,,1,87,1
13,2V,1,,,,,4/20/22,,NA,,,1,81,0
14,2V,1,,,,,4/29/22,,NA,,,1,97,1
15,2V,1,,,,,4/23/22,,79,,,1,104,1
16,2V,1,,,,,4/20/22,,69,,,1,211,0
17,2V,1,,1,,,NA,5/18/22,82,1,-2,0,NA,
18,2V,1,,,,,4/23/22,,84,,,1,88,1
19,2V,1,,,,,4/10/22,,52,,,NA,NA,
20,2V,1,,,,,4/25/22,,97,,,1,152,1
21,2V,1,,,,,4/22/22,,82,,,1,170,1
22,2V,1,,,,,4/23/22,,82,,,1,88,1
23,2V,1,,,,,2/25/01,,76,,,1,109,1
24,2V,1,,,,,5/3/22,,100,,,0,0,1
25,2V,1,,,,,4/25/22,,89,,,1,112,1
26,2V,1,,,,,4/22/22,,87,,,0,0,1
27,2V,1,,1,,,NA,5/18/22,81,1,-2,0,NA,
28,2V,1,,,,,4/20/22,,83,,,1,218,0
29,2V,1,,,,,4/23/22,,83,,,1,140,1
30,2V,1,,,,,4/23/22,,86,,,1,322,0
31,2V,1,,,,,4/11/22,,NA,,,0,NA,
32,2V,1,,,,,4/25/22,,NA,,,1,88,1
33,2V,1,,,,,4/24/22,,93,,,1,117,1
34,2V,1,,,,1,NA,4/12/22,NA,,,NA,NA,
35,2V,1,,,,,4/25/22,,92,,,1,101,1
36,2V,1,,,,,5/23/22,,94,1,-1,0,NA,
37,2V,1,,1,,,NA,5/23/22,84,1,-2,0,NA,
38,2V,1,,1,,,NA,5/23/22,85,1,-2,0,NA,
39,2V,1,1,,,,4/30/22,,61,,,0,NA,
40,2V,1,,,,,5/21/22,,96,1,-1,0,NA,
41,2V,1,,1,,,NA,5/23/22,84,1,-2,0,NA,
42,2V,1,,,,,5/22/22,,79,1,-2,0,NA,
43,2V,1,,,,,5/21/22,,83,1,-2,0,NA,
44,2V,1,,,,,5/8/22,,95,1,-1,0,NA,
45,2V,1,,,,,5/20/22,,NA,,,0,NA,
46,2V,1,,,,,5/21/22,,84,1,-2,0,NA,
47,2V,1,,1,,,NA,5/23/22,83,1,-2,0,NA,
48,2V,1,,1,,,NA,5/23/22,98,1,-1,0,NA,
49,2V,1,,1,,,NA,5/23/22,86,1,-2,0,NA,
50,2V,1,1,,,,NA,5/1/22,66,,,0,NA,
51,6V,1,,,,,4/22/22,,85,,,1,108,1
