bucket,sample_date,count_date,counter,juvenile_daphnia_uninf,adult_daphnia_uninf,juvenile_daphnia_inf,adult_daphnia_inf,cerio_uninf,cerio_inf,notes
8,6/27/2022,6/28/2022,JT,20,6,0,0,0,0,
40,6/27/2022,6/28/2022,JT,0,0,0,0,28,0,
17,6/27/2022,6/28/2022,JT,2,11,0,0,1,0,"1 cerio, 2 dead"
7,6/27/2022,6/28/2022,JT,59,27,0,0,0,0,12 dead
19,6/27/2022,6/28/2022,JT,15,5,0,0,0,0,2 dead
48,6/27/2022,6/28/2022,JT,0,0,0,0,14,0,1 dead
13,6/27/2022,6/28/2022,JT,30,4,0,0,0,0,
2,6/27/2022,6/28/2022,JT,5,5,0,0,0,0,
18,6/27/2022,6/28/2022,EL,4,3,0,0,0,0,
5,6/27/2022,6/28/2022,EL,26,6,0,0,0,0,5 very dead ones
44,6/27/2022,6/28/2022,EL,1,0,0,0,46,0,1 juvenile Daphnia
38,6/27/2022,6/28/2022,EL,0,0,0,0,28,0,
11,6/27/2022,6/28/2022,EL,72,20,0,0,0,0,
43,6/27/2022,6/28/2022,EL,0,0,0,0,16,0,
9,6/27/2022,6/28/2022,EL,48,8,0,0,0,0,
30,6/27/2022,6/28/2022,EL,34,5,0,0,0,0,
24,6/27/2022,6/28/2022,EL,38,9,0,0,0,0,
12,6/27/2022,6/28/2022,DCS,48,6,0,0,0,0,
22,6/27/2022,6/28/2022,DCS,33,10,0,0,0,0,
21,6/27/2022,6/28/2022,DCS,20,5,0,0,0,0,
39,6/27/2022,6/28/2022,DCS,0,0,0,0,20,0,
49,6/27/2022,6/27/2022,KS,9,7,0,0,7,0,
3,6/27/2022,6/27/2022,KS,5,10,0,0,0,0,
52,6/27/2022,6/27/2022,KS,12,14,0,0,6,0,
29,6/27/2022,6/27/2022,KS,26,16,0,0,0,0,
31,6/27/2022,6/27/2022,KS,8,3,0,0,0,0,
36,6/27/2022,6/27/2022,KS,0,0,0,0,10,0,3 dead Bosmina
20,6/27/2022,6/27/2022,KS,6,5,0,0,0,0,
33,6/27/2022,6/27/2022,KS,0,0,0,0,6,0,
62,6/27/2022,6/27/2022,KS,57,17,0,0,17,0,
