Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
7/11/2022,9:08:46 AM,Tank 29,Strauss lab 1,,70.956,750.3,105,9.24,144.5,135.3,145.4,7392,94,0.07,-2.1,-2.1,6.76,-83.8,1.94,1.94,16.43,68.11,-0.08,-0.064
7/11/2022,9:08:49 AM,Tank 29,Strauss lab 1,,70.907,750.4,108.8,9.58,80.3,75.1,80.8,13314,52,0.04,-2.1,-2.1,6.78,-85.3,1.94,1.94,9.89,40.87,-0.08,-0.073
7/11/2022,9:08:52 AM,Tank 29,Strauss lab 1,,70.808,750.4,110.9,9.78,72.8,68,73.3,14699,47,0.03,-2.1,-2.1,6.81,-87.1,1.9,1.9,14.74,61.08,-0.078,-0.064
7/11/2022,9:08:55 AM,Tank 29,Strauss lab 1,,70.778,750.3,112.5,9.92,75.6,70.6,76.1,14154,49,0.03,-2.1,-2.1,6.85,-89,1.9,1.89,12.14,50.25,-0.079,-0.086
7/11/2022,9:08:58 AM,Tank 29,Strauss lab 1,,70.738,750.2,118,10.41,129.5,120.9,130.3,8273,84,0.06,-2.1,-2.1,6.89,-91.3,1.81,1.81,23.68,98.27,-0.08,-0.095
7/11/2022,9:09:01 AM,Tank 29,Strauss lab 1,,70.733,750.3,118.9,10.49,75.4,70.4,75.9,14213,49,0.03,-2.1,-2.1,6.93,-93.8,1.8,1.8,10.18,42.1,-0.076,-0.07
7/11/2022,9:09:04 AM,Tank 29,Strauss lab 1,,70.729,750.3,119.8,10.57,74.8,69.8,75.3,14323,49,0.03,-2.1,-2.1,6.98,-96.6,1.74,1.73,11.45,47.35,-0.077,-0.069
7/11/2022,9:09:07 AM,Tank 29,Strauss lab 1,,70.729,750.3,120.5,10.63,86.5,80.7,87,12386,56,0.04,-2.1,-2.1,7.12,-104.6,1.74,1.74,10.16,42,-0.08,-0.085
7/11/2022,9:13:49 AM,Tank 45,Strauss lab 1,,70.536,750.3,118.7,10.5,151,140.7,152,7109,98,0.07,-2,-2,7.77,-141.7,1.93,1.93,11.45,47.36,-0.079,-0.065
7/11/2022,9:13:52 AM,Tank 45,Strauss lab 1,,70.534,750.3,119.3,10.55,151,140.6,152,7110,98,0.07,-2,-2,7.78,-142.3,1.98,1.98,10.78,44.58,-0.081,-0.084
7/11/2022,9:13:55 AM,Tank 45,Strauss lab 1,,70.531,750.3,119.8,10.59,151,140.6,152,7112,98,0.07,-2,-2,7.78,-142.6,1.95,1.94,11.63,48.11,-0.08,-0.089
7/11/2022,9:13:58 AM,Tank 45,Strauss lab 1,,70.528,750.3,120.2,10.63,150.9,140.6,151.9,7113,98,0.07,-2,-2,7.79,-143.1,1.99,1.99,11.7,48.41,-0.078,-0.073
7/11/2022,9:14:01 AM,Tank 45,Strauss lab 1,,70.527,750.3,120.6,10.66,150.9,140.6,151.9,7114,98,0.07,-2,-2,7.8,-143.5,1.92,1.92,11.86,49.09,-0.078,-0.064
7/11/2022,9:14:04 AM,Tank 45,Strauss lab 1,,70.528,750.3,120.9,10.69,150.9,140.6,151.9,7114,98,0.07,-2,-2,7.8,-143.9,2.1,2.1,11.92,49.33,-0.081,-0.075
7/11/2022,9:16:25 AM,Tank 63,Strauss lab 1,,70.407,750.3,129.8,11.49,153.1,142.4,154.1,7023,100,0.07,-2,-2,8.06,-158.5,0.83,0.81,6.86,28.28,-0.08,-0.073
